group_id,group_nom,level,annee_academique,filiere_id
1,TD1,AP1,2024-2025,7
2,TD2,AP1,2024-2025,7
3,TD3,AP1,2024-2025,7
4,TD4,AP1,2024-2025,7
5,TD5,AP1,2024-2025,7
6,TD6,AP1,2024-2025,7
7,TD1,AP2,2024-2025,8
8,TD2,AP2,2024-2025,8
9,TD3,AP2,2024-2025,8
10,TD4,AP2,2024-2025,8
11,TD5,AP2,2024-2025,8
12,TD6,AP2,2024-2025,8
13,GINF1,CI1,2024-2025,1
14,GINF2,CI2,2024-2025,1
15,GINF3,CI3,2024-2025,1
16,GIL1,CI1,2024-2025,2
17,GIL2,CI2,2024-2025,2
18,GIL3,CI3,2024-2025,2
19,GSEA1,CI1,2024-2025,3
20,GSEA2,CI2,2024-2025,3
21,GSEA3,CI3,2024-2025,3
22,GSTR1,CI1,2024-2025,4
23,GSTR2,CI2,2024-2025,4
24,GSTR3,CI3,2024-2025,4
25,GCYS1,CI1,2024-2025,5
26,GCYS2,CI2,2024-2025,5
27,GCYS3,CI3,2024-2025,5
28,G3EI1,CI1,2024-2025,6
29,G3EI2,CI2,2024-2025,6
30,G3EI3,CI3,2024-2025,6
