heure_id,enseignant_id,matiere_id,group_id,semestre_id,type_cours,volume_horaire,date_cours
HRE000001,ENS0001,MAT0011,29,1,TP,35,2024-05-17
HRE000002,ENS0001,MAT0018,2,4,TP,10,2023-04-15
HRE000003,ENS0001,MAT0021,14,4,PROJET,15,2023-03-17
HRE000004,ENS0001,MAT0028,14,3,CM,40,2024-05-17
HRE000005,ENS0001,MAT0028,10,2,TD,10,2024-03-17
HRE000006,ENS0001,MAT0020,17,1,TD,20,2024-04-15
HRE000007,ENS0001,MAT0007,4,3,TD,40,2024-04-16
HRE000008,ENS0001,MAT0025,10,3,PROJET,35,2024-05-16
HRE000009,ENS0001,MAT0032,2,2,CM,20,2024-03-17
HRE000010,ENS0001,MAT0003,25,2,CM,40,2024-05-16
HRE000011,ENS0001,MAT0012,7,1,TP,25,2023-04-16
HRE000012,ENS0001,MAT0001,28,3,PROJET,30,2023-05-17
HRE000013,ENS0002,MAT0012,4,2,PROJET,30,2023-04-16
HRE000014,ENS0002,MAT0029,14,2,CM,10,2023-03-16
HRE000015,ENS0002,MAT0005,7,1,PROJET,15,2023-04-15
HRE000016,ENS0002,MAT0018,27,2,CM,25,2023-03-17
HRE000017,ENS0002,MAT0023,8,1,TD,20,2023-05-16
HRE000018,ENS0003,MAT0019,8,1,TD,25,2024-04-15
HRE000019,ENS0003,MAT0030,20,3,PROJET,15,2024-04-16
HRE000020,ENS0003,MAT0002,17,1,TP,30,2023-03-16
HRE000021,ENS0003,MAT0028,8,2,PROJET,20,2023-04-15
HRE000022,ENS0003,MAT0016,19,4,CM,15,2023-04-16
HRE000023,ENS0003,MAT0018,1,2,TP,40,2023-05-16
HRE000024,ENS0003,MAT0008,7,4,CM,15,2023-03-16
HRE000025,ENS0003,MAT0021,5,1,CM,15,2023-04-16
HRE000026,ENS0003,MAT0018,7,1,TD,30,2023-05-17
HRE000027,ENS0003,MAT0030,13,3,CM,15,2024-04-15
HRE000028,ENS0003,MAT0003,18,1,CM,15,2023-04-16
HRE000029,ENS0003,MAT0024,25,1,TD,30,2023-03-16
HRE000030,ENS0004,MAT0015,11,4,CM,10,2024-04-15
HRE000031,ENS0004,MAT0016,17,1,CM,15,2024-05-17
HRE000032,ENS0004,MAT0032,8,1,PROJET,25,2023-03-16
HRE000033,ENS0004,MAT0009,6,3,PROJET,10,2023-03-16
HRE000034,ENS0004,MAT0031,13,2,PROJET,40,2023-04-16
HRE000035,ENS0004,MAT0018,9,4,PROJET,20,2023-04-16
HRE000036,ENS0004,MAT0022,26,4,TD,40,2024-05-16
HRE000037,ENS0004,MAT0030,30,3,TP,40,2024-03-17
HRE000038,ENS0004,MAT0020,14,4,TP,15,2023-05-16
HRE000039,ENS0004,MAT0033,22,1,TP,25,2024-05-16
HRE000040,ENS0004,MAT0018,6,3,TP,15,2023-04-16
HRE000041,ENS0004,MAT0010,27,4,CM,10,2024-05-17
HRE000042,ENS0004,MAT0016,7,1,CM,35,2024-04-15
HRE000043,ENS0004,MAT0005,28,1,CM,10,2023-04-16
HRE000044,ENS0004,MAT0009,3,3,TD,20,2024-03-17
HRE000045,ENS0004,MAT0023,16,4,CM,25,2023-05-16
HRE000046,ENS0005,MAT0016,5,2,CM,20,2024-03-17
HRE000047,ENS0005,MAT0005,16,3,CM,10,2023-05-17
HRE000048,ENS0005,MAT0008,17,1,PROJET,20,2023-05-16
HRE000049,ENS0005,MAT0009,5,4,PROJET,15,2024-04-16
HRE000050,ENS0005,MAT0012,8,2,TP,20,2024-04-16
HRE000051,ENS0005,MAT0035,6,4,TP,25,2024-04-15
HRE000052,ENS0005,MAT0010,26,1,PROJET,10,2024-05-17
HRE000053,ENS0005,MAT0020,7,3,CM,10,2024-04-16
HRE000054,ENS0005,MAT0030,9,1,CM,40,2023-05-16
HRE000055,ENS0005,MAT0020,19,1,TP,10,2023-03-16
HRE000056,ENS0005,MAT0029,24,1,PROJET,10,2024-04-15
HRE000057,ENS0005,MAT0032,18,2,TD,30,2023-05-16
HRE000058,ENS0005,MAT0012,24,1,PROJET,35,2023-03-17
HRE000059,ENS0005,MAT0027,3,3,CM,10,2024-05-16
HRE000060,ENS0005,MAT0010,9,4,CM,30,2023-04-15
HRE000061,ENS0005,MAT0028,26,1,TP,20,2023-03-17
HRE000062,ENS0005,MAT0011,2,3,TP,35,2024-04-15
HRE000063,ENS0005,MAT0003,6,2,PROJET,25,2023-05-17
HRE000064,ENS0005,MAT0006,24,4,PROJET,40,2024-05-16
HRE000065,ENS0005,MAT0028,18,4,TD,40,2024-03-17
HRE000066,ENS0006,MAT0030,12,1,PROJET,40,2023-03-16
HRE000067,ENS0006,MAT0021,12,3,CM,30,2023-05-16
HRE000068,ENS0006,MAT0014,15,4,PROJET,35,2023-05-17
HRE000069,ENS0006,MAT0033,8,4,TD,20,2023-05-17
HRE000070,ENS0006,MAT0010,27,3,PROJET,15,2024-03-16
HRE000071,ENS0006,MAT0015,9,2,TP,30,2024-03-17
HRE000072,ENS0006,MAT0032,6,2,TD,40,2023-05-17
HRE000073,ENS0006,MAT0023,26,2,CM,10,2024-04-16
HRE000074,ENS0006,MAT0018,8,2,PROJET,25,2023-05-17
HRE000075,ENS0006,MAT0035,8,4,TD,30,2023-04-15
HRE000076,ENS0006,MAT0014,5,1,CM,30,2023-05-16
HRE000077,ENS0006,MAT0033,26,1,PROJET,20,2024-03-17
HRE000078,ENS0006,MAT0035,10,1,TD,35,2024-03-17
HRE000079,ENS0006,MAT0022,28,4,CM,25,2023-05-17
HRE000080,ENS0006,MAT0013,23,2,CM,15,2024-05-17
HRE000081,ENS0006,MAT0016,10,3,TP,25,2023-03-16
HRE000082,ENS0006,MAT0011,7,4,PROJET,15,2023-05-17
HRE000083,ENS0006,MAT0007,11,2,TP,10,2023-05-17
HRE000084,ENS0006,MAT0003,14,4,TD,25,2024-04-15
HRE000085,ENS0006,MAT0035,12,4,CM,10,2023-05-17
HRE000086,ENS0007,MAT0031,3,4,PROJET,30,2023-03-16
HRE000087,ENS0007,MAT0023,26,4,TD,25,2024-04-15
HRE000088,ENS0007,MAT0024,8,3,CM,25,2023-04-15
HRE000089,ENS0007,MAT0022,5,4,PROJET,10,2024-03-17
HRE000090,ENS0007,MAT0010,26,4,TP,20,2023-03-17
HRE000091,ENS0007,MAT0028,16,3,CM,30,2023-03-16
HRE000092,ENS0007,MAT0001,6,1,CM,35,2024-03-17
HRE000093,ENS0007,MAT0021,26,4,TP,15,2024-05-17
HRE000094,ENS0007,MAT0014,18,2,TP,30,2024-03-17
HRE000095,ENS0007,MAT0002,1,4,PROJET,30,2024-04-15
HRE000096,ENS0007,MAT0020,16,2,CM,15,2024-04-16
HRE000097,ENS0007,MAT0022,16,1,PROJET,15,2023-04-16
HRE000098,ENS0007,MAT0009,28,1,TD,40,2023-04-16
HRE000099,ENS0007,MAT0012,20,3,TP,40,2023-03-17
HRE000100,ENS0007,MAT0014,21,1,CM,25,2023-04-16
