note_id,student_id,matiere_id,semestre_id,type_evaluation,note,coefficient,date_examen,group_id,note_ponderee
NOT000001,STU00001,MAT0007,2,PROJET,13.49,2,2024-04-16,2,26.98
NOT000002,STU00001,MAT0016,4,TP,11.59,3,2023-04-16,2,34.77
NOT000003,STU00001,MAT0012,2,CC,13.94,2,2024-05-16,2,27.88
NOT000004,STU00001,MAT0023,4,EXAMEN,16.57,2,2023-05-16,2,33.14
NOT000005,STU00001,MAT0010,1,PROJET,11.3,1,2024-05-17,2,11.3
NOT000006,STU00001,MAT0017,1,PROJET,11.3,2,2023-04-16,2,22.6
NOT000007,STU00002,MAT0022,4,PROJET,16.74,2,2023-04-15,3,33.48
NOT000008,STU00002,MAT0032,2,EXAMEN,14.3,2,2024-04-15,3,28.6
NOT000009,STU00002,MAT0014,1,PROJET,10.59,2,2024-04-16,3,21.18
NOT000010,STU00002,MAT0004,4,CC,13.63,3,2024-04-16,3,40.89
NOT000011,STU00002,MAT0016,1,CC,10.61,3,2024-04-15,3,31.829998
NOT000012,STU00002,MAT0028,3,PROJET,10.6,3,2023-05-17,3,31.800001
NOT000013,STU00002,MAT0023,4,PROJET,12.73,3,2024-05-17,3,38.19
NOT000014,STU00002,MAT0021,4,PROJET,6.26,2,2023-04-16,3,12.52
NOT000015,STU00003,MAT0015,3,TP,6.83,3,2024-04-15,4,20.49
NOT000016,STU00003,MAT0016,2,EXAMEN,10.31,1,2023-04-15,4,10.31
NOT000017,STU00003,MAT0019,2,PROJET,8.96,3,2023-05-16,4,26.880001
NOT000018,STU00003,MAT0011,2,PROJET,12.94,1,2023-04-16,4,12.94
NOT000019,STU00003,MAT0003,4,PROJET,9.28,3,2023-04-16,4,27.84
NOT000020,STU00003,MAT0035,2,CC,7.76,2,2024-04-16,4,15.52
NOT000021,STU00003,MAT0017,2,TP,16.4,3,2023-04-15,4,49.199997
NOT000022,STU00004,MAT0029,1,TP,11.32,3,2023-05-17,5,33.96
NOT000023,STU00004,MAT0006,2,PROJET,12.2,1,2023-04-15,5,12.2
NOT000024,STU00004,MAT0029,1,EXAMEN,7.73,2,2023-04-16,5,15.46
NOT000025,STU00004,MAT0026,4,PROJET,10.37,3,2024-05-16,5,31.11
NOT000026,STU00004,MAT0016,3,EXAMEN,12.33,1,2023-05-17,5,12.33
NOT000027,STU00004,MAT0030,4,EXAMEN,8.55,2,2023-04-15,5,17.1
NOT000028,STU00004,MAT0033,1,CC,13.13,3,2024-05-16,5,39.39
NOT000029,STU00004,MAT0026,1,PROJET,10.2,3,2024-04-15,5,30.599998
NOT000030,STU00005,MAT0002,3,TP,11.12,2,2023-04-16,6,22.24
NOT000031,STU00005,MAT0001,4,CC,10.19,2,2023-04-16,6,20.38
NOT000032,STU00005,MAT0008,3,PROJET,17.56,1,2023-04-15,6,17.56
NOT000033,STU00005,MAT0021,1,CC,11.96,2,2024-05-16,6,23.92
NOT000034,STU00005,MAT0015,4,CC,8.83,2,2023-04-15,6,17.66
NOT000035,STU00005,MAT0014,2,CC,14.47,2,2024-05-17,6,28.94
NOT000036,STU00005,MAT0015,2,CC,8.34,2,2023-05-17,6,16.68
NOT000037,STU00005,MAT0002,4,EXAMEN,12.63,1,2023-05-16,6,12.63
NOT000038,STU00005,MAT0024,1,PROJET,6.12,2,2024-05-16,6,12.24
NOT000039,STU00005,MAT0012,2,TP,8.02,3,2024-04-15,6,24.060001
NOT000040,STU00006,MAT0010,4,TP,12.59,3,2023-04-16,7,37.77
NOT000041,STU00006,MAT0007,1,CC,14.22,3,2023-04-16,7,42.66
NOT000042,STU00006,MAT0018,4,PROJET,12.51,3,2024-04-16,7,37.53
NOT000043,STU00006,MAT0003,1,TP,11.65,1,2024-05-16,7,11.65
NOT000044,STU00006,MAT0005,1,EXAMEN,11.1,3,2024-05-16,7,33.300003
NOT000045,STU00006,MAT0030,1,PROJET,7.56,3,2023-05-16,7,22.68
NOT000046,STU00006,MAT0018,1,CC,9.84,1,2024-05-17,7,9.84
NOT000047,STU00006,MAT0003,1,CC,10.62,2,2024-05-16,7,21.24
NOT000048,STU00006,MAT0011,3,PROJET,15.17,2,2023-05-16,7,30.34
NOT000049,STU00006,MAT0030,1,TP,13.03,1,2024-05-16,7,13.03
NOT000050,STU00007,MAT0032,3,TP,6.71,2,2024-04-16,8,13.42
NOT000051,STU00007,MAT0015,1,CC,12.97,2,2023-05-16,8,25.94
NOT000052,STU00007,MAT0031,3,TP,10.84,3,2024-04-16,8,32.52
NOT000053,STU00007,MAT0008,4,EXAMEN,9.97,2,2023-05-16,8,19.94
NOT000054,STU00007,MAT0010,2,TP,13.84,1,2024-05-17,8,13.84
NOT000055,STU00007,MAT0018,1,TP,15.09,2,2024-04-15,8,30.18
NOT000056,STU00008,MAT0015,4,TP,14.79,3,2024-05-17,9,44.37
NOT000057,STU00008,MAT0024,2,PROJET,9.48,2,2024-05-16,9,18.96
NOT000058,STU00008,MAT0030,1,CC,11.07,2,2024-05-16,9,22.14
NOT000059,STU00008,MAT0023,2,TP,12.99,2,2024-05-17,9,25.98
NOT000060,STU00008,MAT0022,1,PROJET,14.93,2,2023-05-17,9,29.86
NOT000061,STU00008,MAT0025,2,TP,10.56,2,2023-04-16,9,21.12
NOT000062,STU00009,MAT0033,2,PROJET,11.44,1,2023-05-16,10,11.44
NOT000063,STU00009,MAT0019,1,PROJET,8.68,2,2024-05-16,10,17.36
NOT000064,STU00009,MAT0006,1,PROJET,8.41,3,2024-04-15,10,25.23
NOT000065,STU00009,MAT0002,2,EXAMEN,14.44,2,2024-04-16,10,28.88
NOT000066,STU00009,MAT0005,2,CC,16.07,1,2023-04-15,10,16.07
NOT000067,STU00009,MAT0031,4,PROJET,11.78,2,2023-04-15,10,23.56
NOT000068,STU00009,MAT0034,1,TP,15.01,3,2024-04-15,10,45.03
NOT000069,STU00009,MAT0017,4,CC,13.08,3,2023-04-16,10,39.239998
NOT000070,STU00009,MAT0012,2,TP,10.06,2,2024-04-15,10,20.12
NOT000071,STU00009,MAT0033,3,CC,13.08,2,2023-04-16,10,26.16
