HeureID;EnseignantID;MatiereID;GroupID;SemestreID;TypeCours;VolumeHoraire;DateCours
HRE000001;ENS0001;MAT0011;28;3;TP;35;17-05-0023
HRE000002;ENS0001;MAT0018;31;3;TP;10;15-04-0032
HRE000003;ENS0001;MAT0021;13;3;PROJET;15;17-03-0030
HRE000004;ENS0001;MAT0028;43;3;CM;40;17-05-0019
HRE000005;ENS0001;MAT0028;39;3;TD;10;17-03-0027
HRE000006;ENS0001;MAT0020;46;3;TD;20;15-04-0033
HRE000007;ENS0001;MAT0007;3;3;TD;40;16-04-0031
HRE000008;ENS0001;MAT0025;39;3;PROJET;35;16-05-0013
HRE000009;ENS0001;MAT0032;31;3;CM;20;17-03-0011
HRE000010;ENS0001;MAT0003;24;3;CM;40;16-05-0025
HRE000011;ENS0001;MAT0012;6;3;TP;25;16-04-0026
HRE000012;ENS0001;MAT0001;27;3;PROJET;30;17-05-0014
HRE000013;ENS0002;MAT0012;3;3;PROJET;30;16-04-0014
HRE000014;ENS0002;MAT0029;43;3;CM;10;16-03-0012
HRE000015;ENS0002;MAT0005;36;3;PROJET;15;15-04-0016
HRE000016;ENS0002;MAT0018;26;3;CM;25;17-03-0026
HRE000017;ENS0002;MAT0023;37;3;TD;20;16-05-0008
HRE000018;ENS0003;MAT0019;37;3;TD;25;15-04-0017
HRE000019;ENS0003;MAT0030;19;3;PROJET;15;16-04-0019
HRE000020;ENS0003;MAT0002;46;3;TP;30;16-03-0012
HRE000021;ENS0003;MAT0028;37;3;PROJET;20;15-04-0032
HRE000022;ENS0003;MAT0016;18;3;CM;15;16-04-0014
HRE000023;ENS0003;MAT0018;30;3;TP;40;16-05-0024
HRE000024;ENS0003;MAT0008;6;3;CM;15;16-03-0020
HRE000025;ENS0003;MAT0021;4;3;CM;15;16-04-0022
HRE000026;ENS0003;MAT0018;6;3;TD;30;17-05-0034
HRE000027;ENS0003;MAT0030;42;3;CM;15;15-04-0025
HRE000028;ENS0003;MAT0003;17;3;CM;15;16-04-0034
HRE000029;ENS0003;MAT0024;24;3;TD;30;16-03-0016
HRE000030;ENS0004;MAT0015;40;3;CM;10;15-04-0017
HRE000031;ENS0004;MAT0016;16;3;CM;15;17-05-0019
HRE000032;ENS0004;MAT0032;37;3;PROJET;25;16-03-0028
HRE000033;ENS0004;MAT0009;5;3;PROJET;10;16-03-0008
HRE000034;ENS0004;MAT0031;42;3;PROJET;40;16-04-0026
HRE000035;ENS0004;MAT0018;38;3;PROJET;20;16-04-0030
HRE000036;ENS0004;MAT0022;25;3;TD;40;16-05-0033
HRE000037;ENS0004;MAT0030;29;3;TP;40;17-03-0007
HRE000038;ENS0004;MAT0020;43;3;TP;15;16-05-0012
HRE000039;ENS0004;MAT0033;21;3;TP;25;16-05-0017
HRE000040;ENS0004;MAT0018;5;3;TP;15;16-04-0026
HRE000041;ENS0004;MAT0010;56;3;CM;10;17-05-0023
HRE000042;ENS0004;MAT0016;36;3;CM;35;15-04-0013
HRE000043;ENS0004;MAT0005;27;3;CM;10;16-04-0010
HRE000044;ENS0004;MAT0009;2;3;TD;20;17-03-0023
HRE000045;ENS0004;MAT0023;45;3;CM;25;16-05-0020
HRE000046;ENS0005;MAT0016;4;3;CM;20;17-03-0031
HRE000047;ENS0005;MAT0005;45;3;CM;10;17-05-0010
HRE000048;ENS0005;MAT0008;46;3;PROJET;20;16-05-0032
HRE000049;ENS0005;MAT0009;34;3;PROJET;15;16-04-0019
HRE000050;ENS0005;MAT0012;37;3;TP;20;16-04-0007
HRE000051;ENS0005;MAT0035;35;3;TP;25;15-04-0017
HRE000052;ENS0005;MAT0010;25;3;PROJET;10;17-05-0027
HRE000053;ENS0005;MAT0020;36;3;CM;10;16-04-0015
HRE000054;ENS0005;MAT0030;8;3;CM;40;16-05-0012
HRE000055;ENS0005;MAT0020;48;3;TP;10;16-03-0020
HRE000056;ENS0005;MAT0029;53;3;PROJET;10;15-04-0009
HRE000057;ENS0005;MAT0032;47;3;TD;30;16-05-0028
HRE000058;ENS0005;MAT0012;23;3;PROJET;35;17-03-0026
HRE000059;ENS0005;MAT0027;2;3;CM;10;16-05-0017
HRE000060;ENS0005;MAT0010;38;3;CM;30;15-04-0016
HRE000061;ENS0005;MAT0028;55;3;TP;20;17-03-0014
HRE000062;ENS0005;MAT0011;1;3;TP;35;15-04-0009
HRE000063;ENS0005;MAT0003;35;3;PROJET;25;17-05-0010
HRE000064;ENS0005;MAT0006;53;3;PROJET;40;16-05-0025
HRE000065;ENS0005;MAT0028;47;3;TD;40;17-03-0007
HRE000066;ENS0006;MAT0030;11;3;PROJET;40;16-03-0032
HRE000067;ENS0006;MAT0021;11;3;CM;30;16-05-0016
HRE000068;ENS0006;MAT0014;44;3;PROJET;35;17-05-0026
HRE000069;ENS0006;MAT0033;37;3;TD;20;17-05-0034
HRE000070;ENS0006;MAT0010;56;3;PROJET;15;16-03-0025
HRE000071;ENS0006;MAT0015;8;3;TP;30;17-03-0031
HRE000072;ENS0006;MAT0032;35;3;TD;40;17-05-0034
HRE000073;ENS0006;MAT0023;55;3;CM;10;16-04-0011
HRE000074;ENS0006;MAT0018;7;3;PROJET;25;17-05-0010
HRE000075;ENS0006;MAT0035;37;3;TD;30;15-04-0012
HRE000076;ENS0006;MAT0014;4;3;CM;30;16-05-0016
HRE000077;ENS0006;MAT0033;55;3;PROJET;20;17-03-0011
HRE000078;ENS0006;MAT0035;9;3;TD;35;17-03-0015
HRE000079;ENS0006;MAT0022;27;3;CM;25;17-05-0014
HRE000080;ENS0006;MAT0013;22;3;CM;15;17-05-0019
HRE000081;ENS0006;MAT0016;9;3;TP;25;16-03-0016
HRE000082;ENS0006;MAT0011;6;3;PROJET;15;17-05-0022
HRE000083;ENS0006;MAT0007;40;3;TP;10;17-05-0018
HRE000084;ENS0006;MAT0003;43;3;TD;25;15-04-0009
HRE000085;ENS0006;MAT0035;11;3;CM;10;17-05-0026
HRE000086;ENS0007;MAT0031;32;3;PROJET;30;16-03-0008
HRE000087;ENS0007;MAT0023;55;3;TD;25;15-04-0009
HRE000088;ENS0007;MAT0024;37;3;CM;25;15-04-0016
HRE000089;ENS0007;MAT0022;4;3;PROJET;10;17-03-0015
HRE000090;ENS0007;MAT0010;55;3;TP;20;17-03-0026
HRE000091;ENS0007;MAT0028;45;3;CM;30;16-03-0016
HRE000092;ENS0007;MAT0001;35;3;CM;35;17-03-0023
HRE000093;ENS0007;MAT0021;25;3;TP;15;17-05-0007
HRE000094;ENS0007;MAT0014;17;3;TP;30;17-03-0023
HRE000095;ENS0007;MAT0002;30;3;PROJET;30;15-04-0017
HRE000096;ENS0007;MAT0020;15;3;CM;15;16-04-0019
HRE000097;ENS0007;MAT0022;45;3;PROJET;15;16-04-0030
HRE000098;ENS0007;MAT0009;27;3;TD;40;16-04-0030
HRE000099;ENS0007;MAT0012;19;3;TP;40;17-03-0026
HRE000100;ENS0007;MAT0014;20;3;CM;25;16-04-0026
HRE000101;ENS0007;MAT0013;21;3;CM;15;17-03-0023
HRE000102;ENS0007;MAT0014;46;3;CM;30;15-04-0012
HRE000103;ENS0007;MAT0026;29;3;TD;40;15-04-0008
HRE000104;ENS0008;MAT0005;12;3;TD;35;15-04-0032
HRE000105;ENS0008;MAT0007;54;3;TP;40;16-04-0034
HRE000106;ENS0008;MAT0035;47;3;TD;30;16-04-0027
HRE000107;ENS0008;MAT0021;50;3;TP;20;17-03-0034
HRE000108;ENS0008;MAT0025;31;3;TD;30;17-03-0007
HRE000109;ENS0008;MAT0015;48;3;PROJET;15;17-03-0022
HRE000110;ENS0008;MAT0017;5;3;PROJET;35;15-04-0012
HRE000111;ENS0008;MAT0005;11;3;TD;30;17-05-0018
HRE000112;ENS0008;MAT0017;50;3;CM;10;16-05-0029
HRE000113;ENS0008;MAT0019;49;3;PROJET;25;16-03-0028
HRE000114;ENS0008;MAT0020;6;3;TD;20;15-04-0033
HRE000115;ENS0008;MAT0027;55;3;CM;10;16-03-0017
HRE000116;ENS0008;MAT0009;42;3;PROJET;30;16-04-0031
HRE000117;ENS0008;MAT0005;40;3;TD;40;15-04-0024
HRE000118;ENS0008;MAT0031;16;3;TD;35;17-03-0027
HRE000119;ENS0008;MAT0002;6;3;CM;30;16-05-0008
HRE000120;ENS0009;MAT0004;40;3;CM;30;16-04-0034
HRE000121;ENS0009;MAT0033;17;3;TD;40;16-04-0023
HRE000122;ENS0009;MAT0017;23;3;PROJET;25;16-03-0020
HRE000123;ENS0009;MAT0002;52;3;TP;35;16-03-0012
HRE000124;ENS0009;MAT0033;41;3;TP;35;16-03-0020
HRE000125;ENS0009;MAT0028;37;3;PROJET;30;16-05-0012
HRE000126;ENS0009;MAT0024;8;3;PROJET;20;16-03-0008
HRE000127;ENS0009;MAT0028;37;3;PROJET;10;15-04-0017
HRE000128;ENS0009;MAT0008;8;3;TP;15;16-04-0018
HRE000129;ENS0009;MAT0011;35;3;CM;20;17-03-0034
HRE000130;ENS0009;MAT0006;6;3;PROJET;35;16-04-0023
HRE000131;ENS0009;MAT0004;43;3;CM;30;15-04-0020
HRE000132;ENS0009;MAT0028;39;3;PROJET;15;15-04-0021
HRE000133;ENS0009;MAT0024;7;3;CM;40;16-03-0024
HRE000134;ENS0009;MAT0017;26;3;TD;30;17-05-0011
HRE000135;ENS0009;MAT0026;52;3;TD;20;16-03-0012
HRE000136;ENS0009;MAT0028;53;3;PROJET;20;16-03-0012
HRE000137;ENS0009;MAT0004;18;3;TP;35;16-05-0033
HRE000138;ENS0009;MAT0017;33;3;TP;35;16-04-0031
HRE000139;ENS0010;MAT0014;13;3;TP;35;16-05-0017
HRE000140;ENS0010;MAT0002;22;3;PROJET;10;15-04-0033
HRE000141;ENS0010;MAT0004;45;3;TP;10;17-03-0011
HRE000142;ENS0010;MAT0011;5;3;TD;15;16-04-0019
HRE000143;ENS0010;MAT0004;4;3;PROJET;30;16-05-0032
HRE000144;ENS0010;MAT0021;3;3;CM;20;16-04-0031
HRE000145;ENS0010;MAT0031;32;3;PROJET;35;17-05-0026
HRE000146;ENS0010;MAT0009;4;3;CM;40;16-05-0017
HRE000147;ENS0010;MAT0006;1;3;PROJET;35;16-04-0019
HRE000148;ENS0010;MAT0033;32;3;TP;30;16-04-0019
HRE000149;ENS0010;MAT0011;51;3;TP;20;15-04-0032
HRE000150;ENS0010;MAT0013;48;3;CM;15;16-03-0024
HRE000151;ENS0010;MAT0018;8;3;CM;35;17-05-0034
HRE000152;ENS0010;MAT0013;53;3;TD;40;15-04-0024
HRE000153;ENS0010;MAT0026;45;3;PROJET;35;16-04-0007
HRE000154;ENS0010;MAT0020;8;3;CM;15;16-03-0017
HRE000155;ENS0010;MAT0014;15;3;CM;20;16-03-0024
HRE000156;ENS0010;MAT0031;34;3;CM;30;15-04-0016
HRE000157;ENS0010;MAT0035;45;3;TP;40;16-03-0012
HRE000158;ENS0010;MAT0031;36;3;PROJET;20;16-04-0023
HRE000159;ENS0011;MAT0005;11;3;TD;25;17-05-0010
HRE000160;ENS0011;MAT0030;20;3;PROJET;10;16-03-0028
HRE000161;ENS0011;MAT0007;56;3;CM;35;16-04-0015
HRE000162;ENS0011;MAT0010;2;3;PROJET;25;16-04-0026
HRE000163;ENS0011;MAT0011;42;3;CM;35;16-04-0030
HRE000164;ENS0011;MAT0014;12;3;PROJET;35;15-04-0032
HRE000165;ENS0012;MAT0030;14;3;PROJET;25;15-04-0012
HRE000166;ENS0012;MAT0008;45;3;TD;35;15-04-0033
HRE000167;ENS0012;MAT0030;14;3;TD;15;16-05-0029
HRE000168;ENS0012;MAT0030;45;3;PROJET;10;17-05-0023
HRE000169;ENS0012;MAT0012;42;3;PROJET;20;16-03-0032
HRE000170;ENS0012;MAT0018;23;3;PROJET;25;16-05-0029
HRE000171;ENS0012;MAT0029;12;3;PROJET;10;16-04-0027
HRE000172;ENS0012;MAT0022;47;3;PROJET;10;17-05-0034
HRE000173;ENS0012;MAT0029;51;3;CM;25;16-04-0015
HRE000174;ENS0012;MAT0023;31;3;TP;20;16-03-0025
HRE000175;ENS0012;MAT0033;12;3;CM;25;15-04-0009
HRE000176;ENS0012;MAT0019;24;3;CM;30;16-05-0029
HRE000177;ENS0012;MAT0014;7;3;TP;40;15-04-0016
HRE000178;ENS0012;MAT0020;9;3;TP;20;17-03-0027
HRE000179;ENS0013;MAT0035;10;3;PROJET;10;15-04-0012
HRE000180;ENS0013;MAT0002;52;3;TP;15;17-05-0019
HRE000181;ENS0013;MAT0023;35;3;CM;40;17-05-0011
HRE000182;ENS0013;MAT0007;38;3;CM;40;17-05-0010
HRE000183;ENS0013;MAT0005;51;3;PROJET;10;16-04-0034
HRE000184;ENS0013;MAT0023;41;3;TD;40;17-03-0019
HRE000185;ENS0013;MAT0010;43;3;PROJET;35;16-04-0007
HRE000186;ENS0013;MAT0032;20;3;TP;35;16-03-0009
HRE000187;ENS0014;MAT0011;10;3;CM;40;15-04-0012
HRE000188;ENS0014;MAT0033;52;3;TD;10;17-05-0011
HRE000189;ENS0014;MAT0025;1;3;TD;30;17-03-0030
HRE000190;ENS0014;MAT0023;35;3;CM;35;16-04-0031
HRE000191;ENS0014;MAT0015;16;3;PROJET;20;16-05-0016
